"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"04/14/2022","1081760","971705","316179"
"04/15/2022","1057418","958590","334177"
"04/16/2022","971061","871478","297877"
"04/17/2022","966807","872678","289569"
"04/18/2022","1087212","984460","327680"
"04/19/2022","1162217","1055198","347828"
"04/20/2022","1276208","1163495","375286"
"04/21/2022","1397981","1220694","449922"
"04/22/2022","1359985","1195378","470125"
"04/23/2022","1311202","1200481","443433"
"04/24/2022","1172419","1067340","326492"
"04/25/2022","1270056","1163738","379911"
"04/26/2022","1218655","1109947","361108"
"04/27/2022","1205290","1110505","346313"
"04/28/2022","1167101","1064400","358735"
"04/29/2022","1191549","1087214","360260"
"04/30/2022","1074744","977519","320466"
"05/01/2022","1030516","936843","323047"
"05/02/2022","1064054","967959","318073"
"05/03/2022","997557","897999","316024"
"05/04/2022","1185279","1080817","330816"
"05/05/2022","1148413","1038052","353928"
"05/06/2022","1052462","958812","319295"
"05/07/2022","1089817","910126","400842"
"05/08/2022","981703","887861","311320"
"05/09/2022","1119394","1000132","361366"
"05/10/2022","1050380","953853","322109"
"05/11/2022","1204532","1092702","358509"
"05/12/2022","1203888","1074555","390382"
"05/13/2022","1110122","999853","359969"
"05/14/2022","1115321","997461","369022"
"05/15/2022","992042","901913","316025"
"05/16/2022","1005277","912732","320184"
"05/17/2022","997624","910252","301520"
"05/18/2022","986337","893340","296311"
"05/19/2022","995920","907245","297759"
"05/20/2022","906672","820931","283395"
"05/21/2022","863665","780097","273207"
"05/22/2022","916886","831671","290558"
"05/23/2022","1084605","987576","368959"
"05/24/2022","989775","895230","313944"
"05/25/2022","1053254","955923","317231"
"05/26/2022","1023056","932338","319014"
"05/27/2022","965034","881140","296932"
"05/28/2022","913147","829849","295194"
"05/29/2022","893001","807417","294952"
"05/30/2022","996103","898533","319804"
"05/31/2022","1023947","927344","327742"
"06/01/2022","978915","886735","307611"
"06/02/2022","893302","806659","279993"
"06/03/2022","877147","795082","256048"
"06/04/2022","819109","738242","261162"
"06/05/2022","861384","775240","261275"
"06/06/2022","964622","875022","291437"
"06/07/2022","952497","860569","300297"
"06/08/2022","981304","882000","314519"
"06/09/2022","1005301","907274","310968"
"06/10/2022","967811","881461","299387"
"06/11/2022","889919","809723","264072"
"06/12/2022","922455","844653","257094"
"06/13/2022","1002261","914253","294747"
"06/14/2022","931743","850091","277715"
"06/15/2022","941676","855691","291135"
"06/16/2022","908420","834348","267407"
"06/17/2022","879264","808224","255490"
"06/18/2022","827406","754880","243369"
"06/19/2022","780457","711475","221432"
"06/20/2022","905059","826206","260229"
"06/21/2022","929807","844955","285865"
"06/22/2022","876059","798468","266859"
"06/23/2022","906470","827379","274189"
"06/24/2022","1091199","1010638","295250"
"06/25/2022","958865","883094","275138"
"06/26/2022","970213","891654","274904"
"06/27/2022","917135","829096","274158"
"06/28/2022","916581","832162","269195"
"06/29/2022","943454","854091","276912"
"06/30/2022","1012835","927184","292578"
"07/01/2022","934864","858907","264431"
"07/02/2022","843787","769987","244137"
"07/03/2022","813145","737761","235356"
"07/04/2022","946193","860035","272863"
"07/05/2022","968520","886603","274690"
"07/06/2022","944546","864414","272059"
"07/07/2022","968914","886492","272082"
"07/08/2022","913190","828168","271607"
"07/09/2022","829434","748675","236139"
"07/10/2022","823798","740159","239315"
"07/11/2022","934694","848931","256840"
"07/12/2022","979783","877337","281526"
"07/13/2022","970956","874643","284734"
"07/14/2022","929299","840619","260722"
"07/15/2022","956248","871159","255837"
"07/16/2022","845454","771134","233109"
"07/17/2022","876391","804286","235347"
"07/18/2022","1009685","916141","276713"
"07/19/2022","945946","860679","263033"
"07/20/2022","917787","837881","257435"
"07/21/2022","883147","802919","248555"
"07/22/2022","892469","812767","252056"
"07/23/2022","789651","717390","221280"
"07/24/2022","775948","704732","213095"
"07/25/2022","867748","791562","248333"
